Id,JHipsterRegister,Docker,numberOfRequestsTotal,numberOfRequestsOk,numberOfRequestsKo,minResponseTimeTotal,minResponseTimeOk,minResponseTimeKo,maxResponseTimeTotal,maxResponseTimeOk,maxResponseTimeKo,meanResponseTimeTotal,meanResponseTimeOk,meanResponseTimeKo,standardDeviationTotal,standardDeviationOk,standardDeviationKo,percentiles1Total,percentiles1Ok,percentiles1Ko,percentiles2Total,percentiles2Ok,percentiles2Ko,percentiles3Total,percentiles3Ok,percentiles3Ko,percentiles4Total,percentiles4Ok,percentiles4Ko,group1Name,group1Count,group1Percentage,group2Name,group2Count,group2Percentage,group3Name,group3Count,group3Percentage,group4Name,group4Count,group4Percentage,meanNumberOfRequestsPerSecondTotal,meanNumberOfRequestsPerSecondOk,meanNumberOfRequestsPerSecondKo
1484127562261,jhipster27,true,1900,1900,0,2,2,-1,1600,1600,-1,12,12,-1,50,50,-1,4,4,-1,8,8,-1,103,103,-1,112,112,-1,"""t < 800 ms""",1898,100,"""800 ms < t < 1200 ms""",1,0,"""t > 1200 ms""",1,0,"""failed""",0,0,7.460635331998272,7.460635331998272,-1.0
1484127562261,jhipster27,false,1900,1900,0,2,2,-1,418,418,-1,11,11,-1,25,25,-1,4,4,-1,7,7,-1,104,104,-1,115,115,-1,"""t < 800 ms""",1900,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",0,0,7.480845099259002,7.480845099259002,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484128756814,jhipster28,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484130891965,jhipster31,true,1900,1900,0,3,3,-1,2815,2815,-1,33,33,-1,108,108,-1,5,5,-1,60,60,-1,130,130,-1,171,171,-1,"""t < 800 ms""",1895,100,"""800 ms < t < 1200 ms""",1,0,"""t > 1200 ms""",4,0,"""failed""",0,0,7.469933517591693,7.469933517591693,-1.0
1484130891965,jhipster31,false,500,400,100,2,2,23,195,195,157,36,37,32,49,55,13,7,6,30,34,63,34,131,137,44,156,156,59,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.195290988248252,4.156232790598602,1.0390581976496505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484132885477,jhipster33,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484133313874,jhipster34,false,1900,1900,0,1,1,-1,373,373,-1,17,17,-1,35,35,-1,3,3,-1,22,22,-1,136,136,-1,156,156,-1,"""t < 800 ms""",1900,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",0,0,7.505579806040016,7.505579806040016,-1.0
1484134340274,jhipster35,true,1900,1900,0,2,2,-1,2519,2519,-1,16,16,-1,99,99,-1,4,4,-1,8,8,-1,103,103,-1,116,116,-1,"""t < 800 ms""",1896,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",4,0,"""failed""",0,0,7.55377092195762,7.55377092195762,-1.0
1484134340274,jhipster35,false,1900,1900,0,2,2,-1,196,196,-1,11,11,-1,22,22,-1,5,5,-1,8,8,-1,95,95,-1,106,106,-1,"""t < 800 ms""",1900,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",0,0,7.425529752925268,7.425529752925268,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484135972119,jhipster36,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1484136503022,jhipster37,true,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1484136503022,jhipster37,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484137812267,jhipster39,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1484138554778,jhipster40,true,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1484138554778,jhipster40,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1484123465728,jhipster41,true,500,400,100,1,2,1,137,137,2,26,32,1,44,47,0,4,5,2,6,32,2,116,118,2,124,125,2,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.039205015016831,4.031364012013465,1.0078410030033662
1484123465728,jhipster41,false,500,400,100,1,2,1,137,137,2,26,32,1,44,47,0,4,5,2,6,32,2,116,118,2,124,125,2,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.039205015016831,4.031364012013465,1.0078410030033662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484124733197,jhipster42,false,500,400,100,2,2,23,176,176,128,35,35,35,45,50,14,8,7,31,35,67,35,122,123,58,135,137,100,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.148429214246733,4.118743371397387,1.0296858428493467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484126622233,jhipster45,false,1900,1900,0,3,3,-1,224,224,-1,17,17,-1,29,29,-1,5,5,-1,25,25,-1,123,123,-1,133,133,-1,"""t < 800 ms""",1900,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",0,0,7.4463373817893945,7.4463373817893945,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484127445758,jhipster46,false,500,400,100,1,3,1,292,292,3,35,44,1,64,69,0,4,5,2,7,46,2,165,166,3,198,210,3,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.038037180714394,4.0304297445715145,1.0076074361428786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484128773181,jhipster48,false,500,400,100,2,2,14,149,149,102,33,36,22,39,43,12,16,15,20,24,55,22,110,115,40,119,119,88,"""t < 800 ms""",400,80,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",100,20,5.134735458429182,4.107788366743345,1.0269470916858363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484129482035,jhipster49,false,1900,1900,0,2,2,-1,152,152,-1,16,16,-1,28,28,-1,4,4,-1,23,23,-1,114,114,-1,127,127,-1,"""t < 800 ms""",1900,100,"""800 ms < t < 1200 ms""",0,0,"""t > 1200 ms""",0,0,"""failed""",0,0,7.346402196187604,7.346402196187604,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484130336813,jhipster50,false,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
